stop_id,eigenvector_centrality
2928,0.2509385075608881
5611,0.23920627071577866
3372,0.22624025862490468
3517,0.21397017091339848
3510B,0.20236554854993932
2595,0.2017060868994472
3506,0.20135237305876233
2397,0.19139030017643266
5407,0.1840941129170732
3514,0.17410981159778646
3515,0.1678148926182053
2948,0.167606646398983
2596,0.16620294132058194
1003,0.1660937912057114
1597B,0.1617475656657231
3518B,0.16156459417276822
3567,0.15950817126442693
3520,0.15196681790610203
2301,0.14782286535407668
6444,0.14128052376676825
2296,0.13694885527864345
2967B,0.13446469328011043
3502,0.1323850796581191
1734,0.13134733856189224
3521,0.1290713691386532
3503,0.12470941880840285
3556,0.12282225591111298
1598B,0.12016833217127437
3557,0.11757175399282954
3558,0.11503313411207405
3559,0.11061116370665969
2964B,0.10659652938647901
3525,0.10635917756201702
2351,0.10227064134022451
3562B,0.09833927188880463
3570,0.09455902758494443
3072,0.09312819732825359
3572,0.0909240990508919
5612,0.08742890022626132
2963,0.08450411628554438
3150,0.08395513304632335
3354,0.07652307106424838
2929,0.07352972350321517
1000,0.06938086007382806
1895,0.06757103188121356
3131,0.06619863780401337
1780,0.049450303174862674
4362,0.04533679612992894
3355,0.03827762565275284
1233,0.03725834176832603
1005,0.035971685141059376
1729,0.034779100297687215
4308,0.03093383311787683
1508,0.030707974713529543
6433,0.028583468922044622
1706,0.02435121788122825
2213,0.02163912518312786
2972,0.02154559812685353
2788,0.02127398042678906
7236,0.0195386429495817
3125,0.019369937400807745
9060,0.019146861269879287
3221,0.01774942180392952
1728,0.016067226857723
1906,0.015563099837174571
1509,0.01485115108685327
4363,0.011805337473312602
9064,0.009577456548996775
1131B,0.008724350842509644
4309,0.008318490483206094
3160,0.007534691092801162
2403,0.006929798724744214
1909,0.006675477030797548
2931,0.006313267295552597
6158,0.005667706879739822
2680,0.00484856040874467
6369,0.004790742078035606
3222,0.0046623813589948635
2578,0.0043811856308487
3546,0.003932784272287979
1001,0.0037478848521185788
3953,0.0035230960169745904
7325,0.0034513565857028647
4364,0.002970975423111799
1733,0.0028949197730839715
3158B,0.002862319786235353
2739,0.002674734253667889
1510,0.002478290266213858
6418,0.0023963783642187426
2215,0.0022710611265004716
4310,0.0022370365397832485
2177,0.0020121991847771013
3081,0.0019826790921550746
6445,0.001863904546160246
2932,0.0018499065892915534
3519,0.0017895818670507384
6464,0.0017629110416578363
4303,0.0016882991181848728
1280B,0.00165838952444474
1135,0.0016565887236606402
1512,0.0015829438337649675
3465,0.00150903048867586
1273,0.001369887273214977
1132,0.0013193908488186121
3223B,0.0012247046792189223
1358,0.0012136331444649556
1910,0.0011780954160782525
1136,0.0011071520038326396
1476,0.0010874950604928286
3624B,0.000982653233430605
1425,0.0008689714662863772
2283,0.0008669512039107373
1063,0.0008643419830016868
4311,0.0008381954792069916
1471,0.000763326145131755
4365,0.0007476867971532482
3122,0.0007158702986056401
2216,0.0006298871532565283
5415,0.0006096565822107736
1569B,0.0006076632304842256
1113,0.000591662864733873
2950,0.0005420575795452945
1318,0.0005380559541870116
3228,0.0005284988841026195
1712,0.0005215934626929269
1513,0.0005167948771629901
2581,0.0005055214189439341
3075,0.00048701908413583284
3155,0.0004852501855061208
1167,0.0004616657966998708
1903,0.00044838742172633345
4401,0.000441644872571627
4304,0.0004269887978512406
6465,0.0004218241049029122
1139,0.00040378852226743533
1402B,0.0003511506829470292
6082,0.00034873651972624705
2920,0.0003479875774141461
2927,0.0003416394541797562
2719,0.0003319212864654702
6210,0.00032938750075939656
1453,0.00031406356081743313
3117,0.0003069785153643508
3080,0.00030236966069258645
3921,0.0002907691041284202
1570,0.0002901947104045458
2051,0.0002854969936589904
1912,0.00027581738821810006
1140,0.000267958825522374
1133,0.000248963582981716
3629,0.00024588090576473066
5416,0.00023603403540308683
1141,0.0002291471260040909
1497B,0.00022236234217607224
3922,0.00021328444215890058
2217,0.0002064291164381191
1441,0.00020135746279500912
4366,0.00018816565841926327
6432,0.00018787083898712096
1582,0.00017780424379878175
1262B,0.0001663219143185726
3226B,0.0001621089308970728
2289,0.00016040876338611283
2934A,0.00015883311165722114
2269,0.00015717879134478712
1514B,0.00015390080797332296
4952,0.00015089621858318844
1776,0.00014321471491299498
3156,0.00014198578745398482
1769B,0.00013885924264315838
1571,0.00013858493606676213
1419,0.000138578224148329
1880,0.00012641146023041264
1168,0.0001250111140631249
4705,0.00012197470455136713
3047,0.00012082179912127508
4367B,0.00011988688150281558
4313,0.0001176765118402265
1983,0.00011147687861826288
1376B,0.00010991711053281157
4305,0.00010799000694051475
1127,0.00010561836752969097
4369,0.00010303961005011994
3954,0.00010247860174859319
1160,9.833528323032804e-05
3451,9.825131718059385e-05
1162C,9.818745624302547e-05
3551,9.562302881466686e-05
1713,9.397833503143104e-05
3183,8.922297826153183e-05
6190,8.878014534724523e-05
4402,8.719133103105562e-05
3120,8.507998852983824e-05
6353,8.022522162923966e-05
1802,7.987170800821025e-05
1124,7.851807435633127e-05
3159,7.743344686997465e-05
2247,7.033677840223255e-05
2218,6.76517688813195e-05
3219,5.763662949927958e-05
1881,5.495720504929141e-05
3358,5.48065010841073e-05
1403,5.468862920487437e-05
6408,5.394086517354894e-05
3366,5.25823240791299e-05
3162,5.202610183878403e-05
2587,5.072731901758077e-05
3225,4.9724429449320106e-05
2074,4.968903772541906e-05
1408,4.909639330985103e-05
3237,4.908918894418312e-05
1913,4.7689358170459366e-05
1981,4.735447401660876e-05
1134,4.6978414670255554e-05
2935,4.654110242716312e-05
1128,4.589039009962623e-05
3952,4.5830222702245364e-05
1138,4.4381996668070835e-05
3062,4.396829616069518e-05
7427,4.1693664429028935e-05
6442,3.965579346303531e-05
3185,3.6638709266087306e-05
1169,3.385084784494733e-05
3412,3.381233968176962e-05
4314,3.0495288725280973e-05
3630,2.816728412032149e-05
