service_id,date,exception_type
285170074,20241128,2
285170074,20241129,2
285170074,20241202,2
285170074,20241203,2
285160009,20241127,2
285160009,20241204,2
285251075,20241212,2
285251075,20241213,2
285251075,20241216,2
285251075,20241217,2
285249012,20241211,2
285249012,20241218,2
275091000,20241127,2
275091000,20241204,2
275091000,20241211,2
275091000,20241218,2
275097070,20241128,2
275097070,20241129,2
275097070,20241202,2
275097070,20241203,2
275097070,20241205,2
275097070,20241206,2
275097070,20241209,2
275097070,20241210,2
275097070,20241212,2
275097070,20241213,2
275097070,20241216,2
275097070,20241217,2
275352000,20241209,2
275352000,20241210,2
275352000,20241211,2
275352000,20241212,2
274357600,20241208,2
274347000,20241127,2
274347000,20241204,2
274347000,20241211,2
274347000,20241218,2
274349030,20241128,2
274349030,20241129,2
274349030,20241202,2
274349030,20241203,2
274349030,20241205,2
274349030,20241206,2
274349030,20241209,2
274349030,20241210,2
274349030,20241212,2
274349030,20241213,2
274349030,20241216,2
274349030,20241217,2
285185008,20241202,2
285185008,20241203,2
285185008,20241204,2
285185008,20241209,2
285185008,20241210,2
285185008,20241211,2
285185008,20241216,2
285185008,20241217,2
285185008,20241218,2
282161007,20241129,2
282161007,20241205,2
282161007,20241206,2
282161007,20241212,2
282161007,20241213,2
274938001,20241129,2
274938001,20241206,2
274938001,20241213,2
274939002,20241202,2
274939002,20241203,2
274939002,20241204,2
274939002,20241205,2
274939002,20241209,2
274939002,20241210,2
274939002,20241211,2
274939002,20241212,2
274939002,20241216,2
274939002,20241217,2
274939002,20241218,2
274939002,20241219,2
285126001,20241202,2
285126001,20241203,2
285126001,20241209,2
285126001,20241210,2
285126001,20241216,2
285126001,20241217,2
285140002,20241127,2
285140002,20241128,2
285140002,20241129,2
285140002,20241204,2
285140002,20241205,2
285140002,20241206,2
285140002,20241211,2
285140002,20241212,2
285140002,20241213,2
281896003,20241127,2
281896003,20241204,2
281896003,20241211,2
281896003,20241218,2
281898032,20241128,2
281898032,20241129,2
281898032,20241202,2
281898032,20241203,2
281898032,20241205,2
281898032,20241206,2
281898032,20241209,2
281898032,20241210,2
281898032,20241212,2
281898032,20241213,2
281898032,20241216,2
281898032,20241217,2
283045004,20241129,2
283045004,20241206,2
283045004,20241213,2
283072054,20241202,2
283072054,20241203,2
283072054,20241204,2
283072054,20241205,2
283072054,20241209,2
283072054,20241210,2
283072054,20241211,2
283072054,20241212,2
283072054,20241216,2
283072054,20241217,2
283072054,20241218,2
283072054,20241219,2
283158004,20241127,2
283158004,20241204,2
283158004,20241211,2
283158004,20241218,2
283160033,20241128,2
283160033,20241129,2
283160033,20241202,2
283160033,20241203,2
283160033,20241205,2
283160033,20241206,2
283160033,20241209,2
283160033,20241210,2
283160033,20241212,2
283160033,20241213,2
283160033,20241216,2
283160033,20241217,2
282850001,20241127,2
282850001,20241204,2
282850001,20241211,2
282850001,20241218,2
282852071,20241128,2
282852071,20241129,2
282852071,20241202,2
282852071,20241203,2
282852071,20241205,2
282852071,20241206,2
282852071,20241209,2
282852071,20241210,2
282852071,20241212,2
282852071,20241213,2
282852071,20241216,2
282852071,20241217,2
283078032,20241128,2
283078032,20241129,2
283078032,20241202,2
283078032,20241203,2
283078032,20241205,2
283078032,20241206,2
283078032,20241209,2
283078032,20241210,2
283078032,20241212,2
283078032,20241213,2
283078032,20241216,2
283078032,20241217,2
283076002,20241127,2
283076002,20241204,2
283076002,20241211,2
283076002,20241218,2
285442003,20241127,2
285442003,20241204,2
285442003,20241211,2
285442003,20241218,2
285444033,20241128,2
285444033,20241129,2
285444033,20241202,2
285444033,20241203,2
285444033,20241205,2
285444033,20241206,2
285444033,20241209,2
285444033,20241210,2
285444033,20241212,2
285444033,20241213,2
285444033,20241216,2
285444033,20241217,2
277070001,20241209,2
277070001,20241210,2
277070001,20241211,2
277070001,20241212,2
274362600,20241208,2
285319004,20241127,2
285319004,20241204,2
285319004,20241211,2
285321032,20241128,2
285321032,20241129,2
285321032,20241202,2
285321032,20241203,2
285321032,20241205,2
285321032,20241206,2
285321032,20241209,2
285321032,20241210,2
275122001,20241127,2
275122001,20241204,2
275122001,20241211,2
275122001,20241218,2
275259030,20241128,2
275259030,20241129,2
275259030,20241202,2
275259030,20241203,2
275259030,20241205,2
275259030,20241206,2
275259030,20241209,2
275259030,20241210,2
275259030,20241212,2
275259030,20241213,2
275259030,20241216,2
275259030,20241217,2
281935002,20241127,2
281935002,20241204,2
281935002,20241211,2
281935002,20241218,2
281937031,20241128,2
281937031,20241129,2
281937031,20241202,2
281937031,20241203,2
281937031,20241205,2
281937031,20241206,2
281937031,20241209,2
281937031,20241210,2
281937031,20241212,2
281937031,20241213,2
281937031,20241216,2
281937031,20241217,2
285188003,20241202,2
285188003,20241203,2
285188003,20241204,2
285188003,20241205,2
285188003,20241209,2
285188003,20241210,2
285188003,20241211,2
285188003,20241212,2
285188003,20241216,2
285188003,20241217,2
285188003,20241218,2
285188003,20241219,2
282237002,20241128,2
282237002,20241129,2
282237002,20241205,2
282237002,20241206,2
282237002,20241212,2
282237002,20241213,2
285372062,20241206,2
285372062,20241209,2
285372062,20241210,2
285372062,20241211,2
285372062,20241213,2
285372062,20241216,2
285372062,20241217,2
285372062,20241218,2
276259001,20241127,2
276259001,20241204,2
276259001,20241211,2
276259001,20241218,2
276258031,20241128,2
276258031,20241129,2
276258031,20241202,2
276258031,20241203,2
276258031,20241205,2
276258031,20241206,2
