route_id,weekly_trips,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
81,60,N10,GARE CENTRALE - FORT-JACO,,3,,C1D66B,000000
82,60,N12,GARE CENTRALE - STALLE P,,3,,ED7807,FFFFFF
83,66,N11,GARE CENTRALE - HOMBORCH,,3,,9B6018,FFFFFF
84,60,N13,GARE CENTRALE - WESTLAND SHOPPING,,3,,A12944,FFFFFF
85,60,N16,GARE CENTRALE - GARE DE BERCHEM,,3,,74C095,FFFFFF
86,60,N18,GARE CENTRALE - HEYSEL,,3,,23A845,FFFFFF
87,68,240,CERIA - FOREST NATIONAL,,3,,F3C300,000000
88,1704,T8,LOUISE - ROODEBEEK,,3,,169FDB,FFFFFF
89,1176,T44,MONTGOMERY - TERVUREN STATION,,3,,F3C300,000000
90,1757,T92,SCHAERBEEK GARE - FORT-JACO,,3,,E43C2E,FFFFFF
91,2694,T9,GROOT-BIJGAARDEN - ROI BAUDOUIN,,3,,C44F97,FFFFFF
