route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,281795003,123006382281795003,"BRUSSELS AIRPORT",1,9682674,012b0258
16,281795003,123006383281795003,"CITY VIA MAELB.",0,9682674,012b0011
16,281795003,123006384281795003,"AIRPORT VIA MAEL",1,9682674,012b0010
16,281795003,123006385281795003,"CITY VIA MAELB.",0,9682674,012b0011
16,281795003,123006386281795003,"AIRPORT VIA MAEL",1,9682674,012b0010
16,281795003,123006387281795003,"CITY VIA MAELB.",0,9682674,012b0011
16,281795003,123006388281795003,"AIRPORT VIA MAEL",1,9682674,012b0010
16,281795003,123006389281795003,"CITY VIA MAELB.",0,9682675,012b0012
16,281795003,123006390281795003,"AIRPORT VIA MAEL",1,9682675,012b0010
16,281795003,123006391281795003,"CITY VIA MAELB.",0,9682675,012b0011
16,281795003,123006392281795003,"MEISER VIA MAELB",1,9682667,012b0016
16,281795003,123006393281795003,"CITY VIA MAELB.",0,9682681,012b0011
16,281795003,123006394281795003,"CITY VIA MAELB.",0,9682687,012b0011
16,281795003,123006395281795003,"AIRPORT VIA MAEL",1,9682687,012b0010
16,281795003,123006396281795003,"CITY VIA MAELB.",0,9682682,012b0011
16,281795003,123006397281795003,"AIRPORT VIA MAEL",1,9682681,012b0010
16,281795003,123006398281795003,"AIRPORT VIA MAEL",1,9682695,012b0010
16,281795003,123006399281795003,"CITY VIA MAELB.",0,9682695,012b0011
16,281795003,123006400281795003,"CITY VIA MAELB.",0,9682681,012b0011
16,281795003,123006401281795003,"CITY VIA MAELB.",0,9682678,012b0011
16,281795003,123006402281795003,"AIRPORT VIA MAEL",1,9682678,012b0010
16,281795003,123006403281795003,"CITY VIA MAELB.",0,9682688,012b0011
16,281795003,123006404281795003,"AIRPORT VIA MAEL",1,9682695,012b0010
16,281795003,123006405281795003,"CITY VIA MAELB.",0,9682695,012b0011
16,281795003,123006406281795003,"CITY VIA MAELB.",0,9682660,012b0011
16,281795003,123006407281795003,"AIRPORT VIA MAEL",1,9682660,012b0010
17,281795003,123006408281795003,"TRONE",0,9682667,021b0051
16,281795003,123006409281795003,"CITY VIA MAELB.",0,9682670,012b0011
16,281795003,123006410281795003,"AIRPORT VIA MAEL",1,9682686,012b0010
16,281795003,123006411281795003,"MEISER VIA MAELB",1,9682680,012b0016
16,281795003,123006412281795003,"CITY VIA MAELB.",0,9682690,012b0011
17,281795003,123006413281795003,"BORDET STATION VIA MAELBEEK",1,9682685,021b0016
16,281795003,123006414281795003,"CITY VIA MAELB.",0,9682679,012b0011
16,281795003,123006415281795003,"AIRPORT VIA MAEL",1,9682684,012b0010
16,281795003,123006416281795003,"CITY VIA MAELB.",0,9682684,012b0011
16,281795003,123006417281795003,"AIRPORT VIA MAEL",1,9682684,012b0010
16,281795003,123006418281795003,"CITY VIA MAELB.",0,9682684,012b0011
16,281795003,123006419281795003,"AIRPORT VIA MAEL",1,9682684,012b0010
16,281795003,123006420281795003,"CITY VIA MAELB.",0,9682684,012b0011
16,281795003,123006421281795003,"AIRPORT VIA MAEL",1,9682684,012b0010
16,281795003,123006422281795003,"CITY VIA MAELB.",0,9682680,012b0011
16,281795003,123006423281795003,"AIRPORT VIA MAEL",1,9682694,012b0010
16,281795003,123006424281795003,"CITY VIA MAELB.",0,9682694,012b0011
16,281795003,123006425281795003,"AIRPORT VIA MAEL",1,9682694,012b0010
16,281795003,123006426281795003,"CITY VIA MAELB.",0,9682694,012b0011
16,281795003,123006427281795003,"AIRPORT VIA MAEL",1,9682694,012b0010
16,281795003,123006428281795003,"CITY VIA MAELB.",0,9682694,012b0011
16,281795003,123006429281795003,"CITY VIA MAELB.",0,9682689,012b0011
16,281795003,123006430281795003,"MEISER VIA MAELB",1,9682694,012b0016
16,281795003,123006431281795003,"CITY VIA MAELB.",0,9682689,012b0011
