route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
044,EMT,44,Plaza del Callao - Marques de Viana,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=44,0178BC,FFFFFF
045,EMT,45,Plaza de Legazpi - Avenida Reina Victoria,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=45,0178BC,FFFFFF
046,EMT,46,Puerta del Sol/sevilla - Moncloa,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=46,0178BC,FFFFFF
047,EMT,47,Atocha - Carabanchel Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=47,0178BC,FFFFFF
048,EMT,48,Plaza de Manuel Becerra - Barrio de Canillejas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=48,0178BC,FFFFFF
049,EMT,49,Plaza de Castilla - Pitis,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=49,0178BC,FFFFFF
050,EMT,50,Plaza Mayor - Avenida del Manzanares,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=50,0178BC,FFFFFF
051,EMT,51,Puerta del Sol/sevilla - Plaza del Peru,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=51,0178BC,FFFFFF
052,EMT,52,Puerta del Sol/sevilla - Santamarca,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=52,0178BC,FFFFFF
053,EMT,53,Puerta del Sol/sevilla - Arturo Soria,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=53,0178BC,FFFFFF
054,EMT,54,Estacion de Atocha - Congosto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=54,0178BC,FFFFFF
055,EMT,55,Atocha - Batan,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=55,0178BC,FFFFFF
056,EMT,56,Diego de Leon - Puente de Vallecas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=56,0178BC,FFFFFF
057,EMT,57,Estacion de Atocha - Alto del Arenal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=57,0178BC,FFFFFF
058,EMT,58,Puente Vallecas - Barrio de Santa Eugenia,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=58,0178BC,FFFFFF
059,EMT,59,Estacion de Atocha - Colonia San Cristobal de los Angeles,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=59,0178BC,FFFFFF
060,EMT,60,Plaza de la Cebada - Orcasitas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=60,0178BC,FFFFFF
061,EMT,61,Moncloa - Narvaez,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=61,0178BC,FFFFFF
